_id,INTERVENTION_TYPE,LICENCE_NUMBER,OPERATOR_NAME,BUSINESS_ADDRESS,PROPOSED_STREET_LOCATION,WARD_NAME,BIA_NAME,STREET_NAME_SHORTENED,MUNICIPAL_ADDRESS,CATEGORY,CONDITIONS,geometry
296,Sidewalk Caf̩,R57-5002215,LITTLE SISTER PORTLAND,102 PORTLAND ST,None,SPADINA-FORT YORK,None,PORTLAND ST,102 PORTLAND ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40067591, 43.6452605756016]], ""type"": ""MultiPoint""}"
297,Sidewalk Caf̩,R57-5003715,DINEEN COFFEE CO,140 YONGE ST,None,TORONTO CENTRE,None,YONGE ST,140 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.37902384, 43.6511221128661]], ""type"": ""MultiPoint""}"
298,Sidewalk Caf̩,R57-5006923,CLAUDIA'S COFFEE,3079 DUNDAS ST W,None,PARKDALE-HIGH PARK,None,DUNDAS ST W,3079 DUNDAS ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.47224335, 43.6653598710233]], ""type"": ""MultiPoint""}"
299,Sidewalk Caf̩,R57-5006937,LOCAL 1794,1794 DANFORTH AVE,None,BEACHES-EAST YORK,None,DANFORTH AVE,1794 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.31885102, 43.6845927201116]], ""type"": ""MultiPoint""}"
300,Sidewalk Caf̩,R57-5014297,THE SHMOOZ,590 PAPE AVE,None,TORONTO-DANFORTH,None,PAPE AVE,590 PAPE AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.34359216, 43.6751692756316]], ""type"": ""MultiPoint""}"
301,Sidewalk Caf̩,R57-5015459,THE REDWOOD THEATRE,1300 GERRARD ST E,None,TORONTO-DANFORTH,None,GERRARD ST E,1300 GERRARD ST E,SIDEWALK CAFE,None,"{""coordinates"": [[-79.32718479, 43.6712663571845]], ""type"": ""MultiPoint""}"
302,Sidewalk Caf̩,R57-5200594,BAKA GALLERY CAFE,"2256 BLOOR ST W, 1ST-2ND",None,PARKDALE-HIGH PARK,None,BLOOR ST W,2256 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.47759563, 43.6510877144223]], ""type"": ""MultiPoint""}"
303,Sidewalk Caf̩,R57-5200814,THE GOOD NEIGHBOUR,238 ANNETTE ST,None,PARKDALE-HIGH PARK,None,ANNETTE ST,238 ANNETTE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.471099, 43.6626705272095]], ""type"": ""MultiPoint""}"
304,Sidewalk Caf̩,R57-5200875,FLOCK ROTISSERIE + GREENS,379 HARBORD ST,None,UNIVERSITY-ROSEDALE,None,HARBORD ST,379 HARBORD ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.42271945, 43.6587399984114]], ""type"": ""MultiPoint""}"
305,Sidewalk Caf̩,R57-5201255,DAIRY FREEZE,1601 ST CLAIR AVE W,None,DAVENPORT,None,ST CLAIR AVE W,1601 ST CLAIR AVE W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.45487248, 43.6750977147512]], ""type"": ""MultiPoint""}"
306,Sidewalk Caf̩,R57-5201352,DI PARMA TRATTORIA,785 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,785 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.34161815, 43.6793495237063]], ""type"": ""MultiPoint""}"
307,Sidewalk Caf̩,R57-5201354,SLAYER BURGER,739 QUEEN ST E,None,TORONTO-DANFORTH,None,QUEEN ST E,739 QUEEN ST E,SIDEWALK CAFE,None,"{""coordinates"": [[-79.34838981, 43.6590103258328]], ""type"": ""MultiPoint""}"
308,Sidewalk Caf̩,R57-5201381,TACOTACO,319 AUGUSTA AVE,None,UNIVERSITY-ROSEDALE,None,AUGUSTA AVE,319 AUGUSTA AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40265096, 43.6568877284969]], ""type"": ""MultiPoint""}"
309,Sidewalk Caf̩,R57-5201490,EDEN TRATTORIA,"58 MARINE PARADE DR, #10-13",None,ETOBICOKE-LAKESHORE,None,MARINE PARADE DR,58 MARINE PARADE DR,SIDEWALK CAFE,None,"{""coordinates"": [[-79.47712766, 43.6274691648797]], ""type"": ""MultiPoint""}"
310,Sidewalk Caf̩,R57-5201592,BAR LE GERMAIN,75 BREMNER BLVD,None,SPADINA-FORT YORK,None,BREMNER BLVD,75 BREMNER BLVD,SIDEWALK CAFE,None,"{""coordinates"": [[-79.38091441, 43.6428532020703]], ""type"": ""MultiPoint""}"
311,Sidewalk Caf̩,R57-5201622,Y NOT ITALIAN,538 MANNING AVE,None,UNIVERSITY-ROSEDALE,None,MANNING AVE,538 MANNING AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41498533, 43.6605826376092]], ""type"": ""MultiPoint""}"
312,Sidewalk Caf̩,R57-5201680,FOUND COFFEE,189 SHAW ST,None,SPADINA-FORT YORK,None,SHAW ST,189 SHAW ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41688827, 43.6470687268727]], ""type"": ""MultiPoint""}"
313,Sidewalk Caf̩,R57-5201719,EMILY ROSE CAFE,721 PALMERSTON AVE,None,UNIVERSITY-ROSEDALE,None,PALMERSTON AVE,721 PALMERSTON AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41453307, 43.6675331615124]], ""type"": ""MultiPoint""}"
314,Sidewalk Caf̩,R57-5201738,MERCATTO,"120 BREMNER BLVD, GROUND FL",None,SPADINA-FORT YORK,None,BREMNER BLVD,120 BREMNER BLVD,SIDEWALK CAFE,None,"{""coordinates"": [[-79.38312696, 43.64282227944]], ""type"": ""MultiPoint""}"
315,Sidewalk Caf̩,R57-5201887,CHICA DE PATRIA,79 PORTLAND ST,None,SPADINA-FORT YORK,None,PORTLAND ST,79 PORTLAND ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39947628, 43.6438928220168]], ""type"": ""MultiPoint""}"
316,Sidewalk Caf̩,R57-5201994,RUBY SOHO,587 KING ST W,None,SPADINA-FORT YORK,None,KING ST W,587 KING ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40018532, 43.6442360534827]], ""type"": ""MultiPoint""}"
317,Sidewalk Caf̩,R57-5202057,ONE LOVE SPORTS BAR,630 VAUGHAN RD,None,TORONTO-ST. PAUL'S,None,VAUGHAN RD,630 VAUGHAN RD,SIDEWALK CAFE,None,"{""coordinates"": [[-79.44123375, 43.6925885387506]], ""type"": ""MultiPoint""}"
318,Sidewalk Caf̩,R57-5202088,SIMPLE BURGER,735 BLOOR ST W,None,UNIVERSITY-ROSEDALE,None,BLOOR ST W,735 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.4186233, 43.6633318739256]], ""type"": ""MultiPoint""}"
319,Sidewalk Caf̩,R57-5202092,EATALY,"55 BLOOR ST W, #120 & 220",None,UNIVERSITY-ROSEDALE,None,BLOOR ST W,55 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.38868473, 43.6696325811903]], ""type"": ""MultiPoint""}"
320,Sidewalk Caf̩,R57-5202370,KIBO SUSHI HOUSE- CENTRE PARK,6123 YONGE ST,None,WILLOWDALE,None,YONGE ST,6123 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41794599, 43.7915878573495]], ""type"": ""MultiPoint""}"
321,Sidewalk Caf̩,R57-5202629,LOCALS ONLY,"589 KING ST W, LOWER LEV",None,SPADINA-FORT YORK,None,KING ST W,589 KING ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40026544, 43.6441816291093]], ""type"": ""MultiPoint""}"
322,Sidewalk Caf̩,R57-5202655,GREEN MANGO,3006 BLOOR ST W,None,ETOBICOKE-LAKESHORE,None,BLOOR ST W,3006 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.51066417, 43.6477869024984]], ""type"": ""MultiPoint""}"
323,Sidewalk Caf̩,R57-5202664,CAFE ROUGE PATISSERIE,2898 BLOOR ST W,None,ETOBICOKE-LAKESHORE,None,BLOOR ST W,2898 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.50642856, 43.6486821798422]], ""type"": ""MultiPoint""}"
324,Sidewalk Caf̩,R57-5202693,DUKE OF YORK,39 PRINCE ARTHUR AVE,None,UNIVERSITY-ROSEDALE,None,PRINCE ARTHUR AVE,39 PRINCE ARTHUR AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39742664, 43.669189414949]], ""type"": ""MultiPoint""}"
325,Sidewalk Caf̩,R57-5203095,ZAZA ESPRESSO BAR AND GELATO,2366 BLOOR ST W,None,PARKDALE-HIGH PARK,None,BLOOR ST W,2366 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.48161464, 43.6501198580096]], ""type"": ""MultiPoint""}"
326,Sidewalk Caf̩,R57-5203239,THE GEORGE STREET DINER,129 GEORGE ST,None,TORONTO CENTRE,None,GEORGE ST,129 GEORGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.37144836, 43.6529746146007]], ""type"": ""MultiPoint""}"
327,Sidewalk Caf̩,R57-5203247,CHIANG MAI THAI KITCHEN DANFORTH,353 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,353 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.35298565, 43.6772004412952]], ""type"": ""MultiPoint""}"
328,Sidewalk Caf̩,R57-5203591,CHADWICK'S CRAFT KITCHEN AND BAR,268 HOWLAND AVE,None,UNIVERSITY-ROSEDALE,None,HOWLAND AVE,268 HOWLAND AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41197775, 43.6735259814972]], ""type"": ""MultiPoint""}"
329,Sidewalk Caf̩,R57-5203596,QUE RICO TAPAS BAR,720 COLLEGE ST,None,UNIVERSITY-ROSEDALE,None,COLLEGE ST,720 COLLEGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41889887, 43.6553579837501]], ""type"": ""MultiPoint""}"
330,Sidewalk Caf̩,R57-5203599,MEZCALERO & TAPAS,509 BLOOR ST W,None,UNIVERSITY-ROSEDALE,None,BLOOR ST W,509 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.408386, 43.6654609]], ""type"": ""MultiPoint""}"
331,Sidewalk Caf̩,R57-5203718,MUSOSHIN RAMEN,484 RONCESVALLES AVE,None,PARKDALE-HIGH PARK,None,RONCESVALLES AVE,484 RONCESVALLES AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.4518913, 43.653384089531]], ""type"": ""MultiPoint""}"
332,Sidewalk Caf̩,R57-5204552,ORETTA MIDTOWN,"2131 YONGE ST, G120",None,TORONTO-ST. PAUL'S,None,YONGE ST,2131 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39742915, 43.7037068151549]], ""type"": ""MultiPoint""}"
333,Sidewalk Caf̩,R57-5208703,COMPLETO,337 BROADVIEW AVE,None,TORONTO-DANFORTH,None,BROADVIEW AVE,337 BROADVIEW AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.35210925, 43.6647543457072]], ""type"": ""MultiPoint""}"
334,Sidewalk Caf̩,R57-5209704,L'AVENUE,583 PARLIAMENT ST,None,TORONTO CENTRE,None,PARLIAMENT ST,583 PARLIAMENT ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.36901291, 43.6674134722426]], ""type"": ""MultiPoint""}"
335,Sidewalk Caf̩,R57-5209976,CARBONIC COFFEE,"37 BALDWIN ST, MAIN",None,UNIVERSITY-ROSEDALE,None,BALDWIN ST,37 BALDWIN ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39351959, 43.6558394994727]], ""type"": ""MultiPoint""}"
336,Sidewalk Caf̩,R57-5209981,PARADISE GRAPEVINE,841 BLOOR ST W,None,UNIVERSITY-ROSEDALE,None,BLOOR ST W,841 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.42342348, 43.662268468321]], ""type"": ""MultiPoint""}"
337,Sidewalk Caf̩,R57-5210235,ROBERTO'S RISTORANTE,2622 YONGE ST,None,EGLINTON-LAWRENCE,None,YONGE ST,2622 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40039857, 43.7151607004085]], ""type"": ""MultiPoint""}"
338,Sidewalk Caf̩,R57-5210919,WHAT A BAGEL,827 ST CLAIR AVE W,None,TORONTO-ST. PAUL'S,None,ST CLAIR AVE W,827 ST CLAIR AVE W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.43137599, 43.680267902683]], ""type"": ""MultiPoint""}"
339,Sidewalk Caf̩,R57-5210922,BARBURRITO,1228 ST CLAIR AVE W,None,DAVENPORT,None,ST CLAIR AVE W,1228 ST CLAIR AVE W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.44530914, 43.6776739747336]], ""type"": ""MultiPoint""}"
340,Sidewalk Caf̩,R57-5210948,C.C.'S BAR & GRILL,1564 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,1564 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.32392779, 43.6834469102594]], ""type"": ""MultiPoint""}"
341,Sidewalk Caf̩,R57-5211080,A&W,"501 ST CLAIR AVE W, #501A",None,TORONTO-ST. PAUL'S,None,ST CLAIR AVE W,501 ST CLAIR AVE W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41770916, 43.6830102849358]], ""type"": ""MultiPoint""}"
342,Sidewalk Caf̩,R57-5311922,THE BLACK PONY CAFE AND SNACK BAR,1481 GERRARD ST E,None,TORONTO-DANFORTH,None,GERRARD ST E,1481 GERRARD ST E,SIDEWALK CAFE,None,"{""coordinates"": [[-79.32043752, 43.6724069120303]], ""type"": ""MultiPoint""}"
343,Sidewalk Caf̩,R57-5229180,VILA VERDE BAR & GRILL CHURRASQUEIRA,206 WESTON RD,None,YORK SOUTH-WESTON,None,WESTON RD,206 WESTON RD,SIDEWALK CAFE,None,"{""coordinates"": [[-79.47196121, 43.6770170084756]], ""type"": ""MultiPoint""}"
344,Sidewalk Caf̩,R57-5318450,DOTTY'S,"1588 DUPONT ST, MAIN",None,DAVENPORT,None,DUPONT ST,1588 DUPONT ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.45405318, 43.6653255087118]], ""type"": ""MultiPoint""}"
345,Sidewalk Caf̩,R57-5315166,BRAZILIAN'S CHOICE - FOOD AND SNACKS,2096 EGLINTON AVE W,None,EGLINTON-LAWRENCE,None,EGLINTON AVE W,2096 EGLINTON AVE W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.45778888, 43.6942351034769]], ""type"": ""MultiPoint""}"
346,Sidewalk Caf̩,R57-5311256,RIKKI TIKKI,209 AUGUSTA AVE,None,UNIVERSITY-ROSEDALE,None,AUGUSTA AVE,209 AUGUSTA AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40152148, 43.6540879074868]], ""type"": ""MultiPoint""}"
347,Sidewalk Caf̩,R57-5210187,PINKERTON'S SNACK BAR,1026 GERRARD ST E,None,TORONTO-DANFORTH,None,GERRARD ST E,1026 GERRARD ST E,SIDEWALK CAFE,None,"{""coordinates"": [[-79.33731112, 43.669012612788]], ""type"": ""MultiPoint""}"
348,Sidewalk Caf̩,R57-5311369,THE DAUGHTER,"1560 BAYVIEW AVE, A",None,DON VALLEY WEST,None,BAYVIEW AVE,1560 BAYVIEW AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.37533731, 43.70522809]], ""type"": ""MultiPoint""}"
349,Sidewalk Caf̩,R57-5203862,HOOTERS,280 ADELAIDE ST W,None,SPADINA-FORT YORK,None,ADELAIDE ST W,280 ADELAIDE ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39060093, 43.6480370398194]], ""type"": ""MultiPoint""}"
350,Sidewalk Caf̩,R57-5201358,BULL AND FIRKIN,"1835 YONGE ST, #100",None,TORONTO-ST. PAUL'S,None,YONGE ST,1835 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.3957298, 43.6967285821249]], ""type"": ""MultiPoint""}"
351,Sidewalk Caf̩,R57-5231659,OUTRIGGER,2232 QUEEN ST E,None,BEACHES-EAST YORK,None,QUEEN ST E,2232 QUEEN ST E,SIDEWALK CAFE,None,"{""coordinates"": [[-79.28786639, 43.6728580358284]], ""type"": ""MultiPoint""}"
352,Sidewalk Caf̩,R57-5222166,TRUE HISTORY BREWING,1154 ST CLAIR AVE W,None,DAVENPORT,None,ST CLAIR AVE W,1154 ST CLAIR AVE W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.44220539, 43.678360625355]], ""type"": ""MultiPoint""}"
353,Sidewalk Caf̩,R57-5207866,BELLWOODS BREWERY,124 OSSINGTON AVE,None,SPADINA-FORT YORK,None,OSSINGTON AVE,124 OSSINGTON AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.42009934, 43.6470665426615]], ""type"": ""MultiPoint""}"
354,Sidewalk Caf̩,R57-5212746,GABBY'S BISTRO,383 EGLINTON AVE E,None,DON VALLEY WEST,None,EGLINTON AVE E,383 EGLINTON AVE E,SIDEWALK CAFE,None,"{""coordinates"": [[-79.38497998, 43.7092735403511]], ""type"": ""MultiPoint""}"
355,Sidewalk Caf̩,R57-5228763,PIZZA E PAZZI,"1182 ST CLAIR AVE W, MAIN",None,DAVENPORT,None,ST CLAIR AVE W,1182 ST CLAIR AVE W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.44388985, 43.6780068036996]], ""type"": ""MultiPoint""}"
356,Sidewalk Caf̩,R57-5211306,GOLDEN TURTLE,125 OSSINGTON AVE,None,SPADINA-FORT YORK,None,OSSINGTON AVE,125 OSSINGTON AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41946657, 43.6468901219269]], ""type"": ""MultiPoint""}"
357,Sidewalk Caf̩,R57-5210570,TROPICAL VENUE,1776 ST CLAIR AVE W,None,DAVENPORT,None,ST CLAIR AVE W,1776 ST CLAIR AVE W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.46147933, 43.6741325438596]], ""type"": ""MultiPoint""}"
358,Sidewalk Caf̩,R57-5232591,CANTINA MERCATTO,"20 WELLINGTON ST E, #1",None,TORONTO CENTRE,None,WELLINGTON ST E,20 WELLINGTON ST E,SIDEWALK CAFE,None,"{""coordinates"": [[-79.37658255, 43.6481448863329]], ""type"": ""MultiPoint""}"
359,Sidewalk Caf̩,R57-5214653,THE ROASTED NUT,768 QUEEN ST W,None,SPADINA-FORT YORK,None,QUEEN ST W,768 QUEEN ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41070445, 43.6460919611587]], ""type"": ""MultiPoint""}"
360,Sidewalk Caf̩,R57-5246539,LADYBUG TAVERN,890 COLLEGE ST,None,DAVENPORT,None,COLLEGE ST,890 COLLEGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.42509262, 43.6540742784043]], ""type"": ""MultiPoint""}"
361,Sidewalk Caf̩,R57-5224716,99 BOTTLES,925 KINGSTON RD,None,BEACHES-EAST YORK,None,KINGSTON RD,925 KINGSTON RD,SIDEWALK CAFE,None,"{""coordinates"": [[-79.2887328, 43.6801778911846]], ""type"": ""MultiPoint""}"
362,Sidewalk Caf̩,R57-5203722,NORTH OF BROOKLYN PIZZERIA,663 GREENWOOD AVE,None,TORONTO-DANFORTH,None,GREENWOOD AVE,663 GREENWOOD AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.33233767, 43.6818221267149]], ""type"": ""MultiPoint""}"
363,Sidewalk Caf̩,R57-5203013,ARITZIA LP,"50 BLOOR ST W, A-07",None,UNIVERSITY-ROSEDALE,None,BLOOR ST W,50 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.38831471, 43.6703786915291]], ""type"": ""MultiPoint""}"
364,Sidewalk Caf̩,R57-5228316,PRIMROSE BAGEL COMPANY,317A OAKWOOD AVE,None,DAVENPORT,None,OAKWOOD AVE,317A OAKWOOD AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.43777439, 43.6854884988308]], ""type"": ""MultiPoint""}"
365,Sidewalk Caf̩,R57-5303350,SUNRISE GRILL & CREPE,417 RONCESVALLES AVE,None,PARKDALE-HIGH PARK,None,RONCESVALLES AVE,417 RONCESVALLES AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.45076212, 43.6513396703775]], ""type"": ""MultiPoint""}"
366,Sidewalk Caf̩,R57-5301196,MISS LIKKLEMORES,431 KING ST W,None,SPADINA-FORT YORK,None,KING ST W,431 KING ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39533778, 43.6452028758622]], ""type"": ""MultiPoint""}"
367,Sidewalk Caf̩,R57-5444380,TAPAS AT EMBRUJO,97 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,97 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.35817188, 43.67614672]], ""type"": ""MultiPoint""}"
368,Sidewalk Caf̩,R57-5439110,THE SPICY WOK,339 SPADINA AVE,None,UNIVERSITY-ROSEDALE,None,SPADINA AVE,339 SPADINA AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39859571, 43.6550927001115]], ""type"": ""MultiPoint""}"
369,Sidewalk Caf̩,R57-5438527,THE AULD SPOT PUB,347 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,347 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.35308354, 43.6770927223657]], ""type"": ""MultiPoint""}"
370,Sidewalk Caf̩,R57-5419840,NAAN AND KABOB,240 QUEEN ST W,None,SPADINA-FORT YORK,None,QUEEN ST W,240 QUEEN ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39064305, 43.6501385472183]], ""type"": ""MultiPoint""}"
371,Sidewalk Caf̩,R57-5439881,HAN BA TANG,4862 YONGE ST,None,WILLOWDALE,None,YONGE ST,4862 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41165944, 43.7628836376662]], ""type"": ""MultiPoint""}"
372,Sidewalk Caf̩,R57-5422302,SOUVLAKI AND PANINI,"6 FAIRLAWN AVE, B",None,EGLINTON-LAWRENCE,None,FAIRLAWN AVE,6 FAIRLAWN AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40414678, 43.7309348708563]], ""type"": ""MultiPoint""}"
373,Sidewalk Caf̩,R57-5434398,FILOSOPHY PASTRY AND ESPRESSO BAR,912 BLOOR ST W,None,DAVENPORT,None,BLOOR ST W,912 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.42652951, 43.6619812936655]], ""type"": ""MultiPoint""}"
374,Sidewalk Caf̩,R57-5425041,THE WOLFE TONE IRISH PUB,1961 QUEEN ST E,None,BEACHES-EAST YORK,None,QUEEN ST E,1961 QUEEN ST E,SIDEWALK CAFE,None,"{""coordinates"": [[-79.30199467, 43.6693992921849]], ""type"": ""MultiPoint""}"
375,Sidewalk Caf̩,R57-5424363,HASTINGS SNACK BAR,5 HASTINGS AVE,None,TORONTO-DANFORTH,None,HASTINGS AVE,5 HASTINGS AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.32896753, 43.6638089682815]], ""type"": ""MultiPoint""}"
376,Sidewalk Caf̩,R57-5434779,MORGANS ON THE DANFORTH,1282 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,1282 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.33034511, 43.6821307221094]], ""type"": ""MultiPoint""}"
377,Sidewalk Caf̩,R57-5441294,WINGS FUZION,917 KINGSTON RD,None,BEACHES-EAST YORK,None,KINGSTON RD,917 KINGSTON RD,SIDEWALK CAFE,None,"{""coordinates"": [[-79.28908221, 43.6801676988447]], ""type"": ""MultiPoint""}"
378,Sidewalk Caf̩,R57-5209721,GREY TIGER,1190 BLOOR ST W,None,DAVENPORT,None,BLOOR ST W,1190 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.43792678, 43.6595077481316]], ""type"": ""MultiPoint""}"
379,Sidewalk Caf̩,R57-5326950,DUFFY'S TAVERN,1238 BLOOR ST W,None,DAVENPORT,None,BLOOR ST W,1238 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.43968631, 43.6592604238827]], ""type"": ""MultiPoint""}"
380,Sidewalk Caf̩,R57-5312376,TRINITY MARKET,766 QUEEN ST W,None,SPADINA-FORT YORK,None,QUEEN ST W,766 QUEEN ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.4106459, 43.6459867704333]], ""type"": ""MultiPoint""}"
381,Sidewalk Caf̩,R57-5311929,ANEJO RESTAURANT,"600 KING ST W, BSMT & FL1",None,SPADINA-FORT YORK,None,KING ST W,600 KING ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39995792, 43.6447374740424]], ""type"": ""MultiPoint""}"
382,Sidewalk Caf̩,R57-5476676,None,"3331 DANFORTH AVE, A",None,SCARBOROUGH SOUTHWEST,None,DANFORTH AVE,3331 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.28122376, 43.6925878214413]], ""type"": ""MultiPoint""}"
383,Sidewalk Caf̩,R57-5312377,LA PAELLA VINO & TAPAS,1146 QUEEN ST E,None,TORONTO-DANFORTH,None,QUEEN ST E,1146 QUEEN ST E,SIDEWALK CAFE,None,"{""coordinates"": [[-79.3343064, 43.66253357]], ""type"": ""MultiPoint""}"
384,Sidewalk Caf̩,R57-5314954,AROMA ESPRESSO BAR,20 WELLINGTON ST E,None,TORONTO CENTRE,None,WELLINGTON ST E,20 WELLINGTON ST E,SIDEWALK CAFE,None,"{""coordinates"": [[-79.37658255, 43.6481448863329]], ""type"": ""MultiPoint""}"
385,Sidewalk Caf̩,R57-5314938,Z BAR & GRILLE,2525-2527 EGLINTON AVE W,None,YORK SOUTH-WESTON,None,EGLINTON AVE W,2525-2527 EGLINTON AVE W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.47127609, 43.6908439099531]], ""type"": ""MultiPoint""}"
386,Sidewalk Caf̩,R57-5320943,MANITA,210 OSSINGTON AVE,None,SPADINA-FORT YORK,None,OSSINGTON AVE,210 OSSINGTON AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.42091166, 43.648891396116]], ""type"": ""MultiPoint""}"
387,Sidewalk Caf̩,R57-5322055,RESTAURANT CHANTECLER,798 BLOOR ST W,None,UNIVERSITY-ROSEDALE,None,BLOOR ST W,798 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.42230663, 43.6628893923686]], ""type"": ""MultiPoint""}"
388,Sidewalk Caf̩,R57-5320945,None,"147 SPADINA AVE, #109",None,SPADINA-FORT YORK,None,SPADINA AVE,147 SPADINA AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39559647, 43.6480765286229]], ""type"": ""MultiPoint""}"
389,Sidewalk Caf̩,R57-5323811,MEZES,440 DANFORTH AVE,None,TORONTO-DANFORTH,None,DANFORTH AVE,440 DANFORTH AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.35066801, 43.6780741653551]], ""type"": ""MultiPoint""}"
390,Sidewalk Caf̩,R57-5317271,ALDER,51 CAMDEN ST,None,SPADINA-FORT YORK,None,CAMDEN ST,51 CAMDEN ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39812994, 43.646704665914]], ""type"": ""MultiPoint""}"
